JURISDICTI3,QJur_US,Sample Type,Parameter,ResultJuris,Units,LoadQUns,LoadsPoundsQUns
LAGUNA BEACH,2052723.6240054537,Total,"Selenium, Total",1.9625,ug/L,4028470.112110703,0.2514889646876849
LAGUNA BEACH,2052723.6240054537,Dissolved,"Selenium, Total",1.9625,ug/L,4028470.112110703,0.2514889646876849
LAGUNA BEACH,2052723.6240054537,Total,"Silver, Total",0.1,ug/L,205272.3624005454,0.012814724315296046
LAGUNA BEACH,2052723.6240054537,Dissolved,"Silver, Total",0.1,ug/L,205272.3624005454,0.012814724315296046
LAGUNA BEACH,2052723.6240054537,Total,"Thallium, Total",0.1,ug/L,205272.3624005454,0.012814724315296046
LAGUNA BEACH,2052723.6240054537,Dissolved,"Thallium, Total",0.1,ug/L,205272.3624005454,0.012814724315296046
LAGUNA BEACH,2052723.6240054537,Total,Total Organic Carbon (TOC),6.125,mg/L,12572932.197033403,784.9018643118827
LAGUNA BEACH,2052723.6240054537,Total,"Zinc, Total",5,ug/L,10263618.120027268,0.6407362157648021
LAGUNA BEACH,2052723.6240054537,Dissolved,"Zinc, Total",5,ug/L,10263618.120027268,0.6407362157648021
LAGUNA BEACH,2052723.6240054537,Total,"Ammonia, as Nitrogen",0.05,mg/L,102636.1812002727,6.407362157648023
LAGUNA BEACH,2052723.6240054537,Total,Chloride,1562.5,mg/L,3207380662.5085216,200230.0674265007
LAGUNA BEACH,2052723.6240054537,Total,Nitrate + Nitrite as N,0.26,mg/L,533708.142241418,33.31828321976972
LAGUNA BEACH,2052723.6240054537,Total,"Nitrogen, Total Kjeldahl",0.6525,mg/L,1339402.1646635584,83.61607615730668
LAGUNA BEACH,2052723.6240054537,Total,Orthophosphate as P,0.05675,mg/L,116492.0656623095,7.272356048930506
LAGUNA BEACH,2052723.6240054537,Total,pH,7.9575,NA,16334548.238023397,NA
LAGUNA BEACH,2052723.6240054537,Total,Phosphorus as PO4,0.405,mg/L,831353.0677222088,51.89963347694898
LAGUNA BEACH,2052723.6240054537,Total,SpecificConductivity,8825,NA,18115285981.84813,NA
LAGUNA BEACH,2052723.6240054537,Total,Sulfate,2072.5,mg/L,4254269710.7513027,265585.1614345105
LAGUNA BEACH,2052723.6240054537,Total,Total Dissolved Solids,5575,mg/L,11443934203.830404,714420.8805777545
LAGUNA BEACH,2052723.6240054537,Total,VSS,2.8,mg/L,5747626.1472152695,358.81228082828915
LAGUNA BEACH,2052723.6240054537,Total,TSS,1.6,mg/L,3284357.798408726,205.03558904473672
LAGUNA BEACH,2052723.6240054537,Total,E. coli,1041.5,CFU/100 mL,2137911654.40168,605388167353.615
LAGUNA BEACH,2052723.6240054537,Total,Enterococcus,350,CFU/100 mL,718453268.4019088,203442975106.8317
LAGUNA BEACH,2052723.6240054537,Total,Fecal coliforms,2050,CFU/100 mL,4208083429.21118,1191594568482.8716
LAGUNA BEACH,2052723.6240054537,Total,Total Coliforms,6392.5,CFU/100 mL,13122035766.454863,3715740623915.4907
LAGUNA BEACH,2052723.6240054537,NA,NA,NA,NA,NA,NA
LAGUNA NIGUEL,93295528.12752546,Total,d10-Acenaphthene,71.8125,ng/L,6699785113.657923,0.4182535739308203
LAGUNA NIGUEL,93295528.12752546,Total,d10-Phenanthrene,79.6875,ng/L,7434487397.662186,0.46411950109816885
LAGUNA NIGUEL,93295528.12752546,Total,d12-Chrysene,80.875,ng/L,7545275837.3136215,0.4710357917027689
LAGUNA NIGUEL,93295528.12752546,Total,d8-Naphthalene,59.4375,ng/L,5545252953.079795,0.34617854552498706
